Gene	SampleNumber
PCDH15	3
MYLK3	1
NEK10	2
LCT	1
HAT1	1
ING2	1
AKAP9	3
ILKAP	2
ERVWE1	1
WRN	1
ADAMTSL1	2
JAK2	1
KIAA0467	1
MAP1B	2
PTPRC	1
MAN1B1	4
PRDM9	2
STK31	1
ACSL1	1
RASAL2	1
TP53BP2	1
ACSL3	1
UGT1A3	1
PPP1R12A	1
RPGRIP1	1
MYCBP2	5
STK38	1
LRP1B	5
FAM175B	1
PLA2G4A	1
GRM3	1
NLRP3	2
FAM161A	1
LAMB4	1
PRUNE2	4
SP110	1
TTN	20
NACA	1
DCK	1
LOC643680	1
TNPO3	1
ADHFE1	1
CHL1	1
DGKH	1
CES1	1
DPF3	1
PDE7B	1
NCOA2	2
RIPK2	1
EHHADH	1
C15orf51	1
DCLK2	1
NALCN	3
SLC34A2	1
IARS2	1
C7orf26	1
TYRO3	1
UBC	1
HTT	1
PMS2CL	1
RASGRP1	1
CACNA2D3	1
NUP188	1
ABP1	1
ESRRG	1
RIMS2	3
KIAA0774	1
C6orf170	2
CSMD3	2
VNN1	1
MLL	2
PPEF2	1
MRAS	1
FH	1
RYR2	7
INPP4B	1
DCAMKL1	2
PDE11A	3
VEPH1	1
NEIL3	1
ANAPC5	1
SRCAP	1
TFRC	1
TEK	1
SERPINA1	1
ADH7	1
UGT2B4	1
FKBP9	1
KIAA0317	1
GFRA1	1
CTNNA1	2
ADAM12	1
ENPP3	1
GSTA3	1
HERC1	1
DDB1	2
SNRNP200	1
GARS	1
MPDZ	1
TF	1
RANBP2	1
LDHB	1
OCA2	1
SLIT2	1
GPATCH3	1
EPB41L4B	2
PDCD11	2
PARP4	1
BNC2	2
SCN3B	1
ROCK2	1
SLCO1A2	1
ANKHD1-EIF4EBP3	2
ENTPD4	1
IRAK2	1
C1QTNF9	1
MTHFD1L	2
ASCC3	2
APTX	1
INPP5F	1
PASK	1
UGCGL1	2
CDC73	1
ITGA6	1
STT3B	1
PLA2G1B	1
MRPS17	1
PLB1	1
AIM1	1
MED13L	1
GNA12	1
TLR3	2
PCDHB11	1
HK3	2
ANXA1	1
MAST2	1
NRAP	2
FAT4	1
SLITRK6	1
TYR	1
MS4A1	1
OMD	1
EPHX2	1
FGGY	1
CCNA1	1
LAMC1	1
IL7R	1
PRIM2	5
FARS2	1
ELAVL4	1
ERC2	1
ALPK1	1
ZNF589	1
LAMA2	1
SGOL1	1
GABBR2	1
NDE1	1
WWOX	2
DYRK2	1
NNT	1
XYLT1	1
MAP3K4	1
FBXO34	2
STK10	1
PAK2	1
GNPAT	1
C10orf137	1
USP33	1
GSTA1	1
FAP	1
PRDM2	2
PAPPA2	3
PCDHB5	1
MUC3B	8
PZP	1
STK33	2
UGT2A2	1
TRIP11	2
RECQL	1
FER	1
AOX1	1
GRHPR	1
PLA1A	1
HPSE	1
CYP1B1	1
SLC12A6	1
BUB1B	1
FREM1	2
HIBADH	1
DNAJC3	1
RPIA	1
GANC	2
ATM	2
CAMK2D	1
NAV3	1
PDGFD	1
COL7A1	1
PHLPPL	1
STARD3NL	1
APC	2
IPO9	1
ALG2	1
uc001wcu.2	1
SVIL	1
NOTCH2	2
CYP3A43	2
PPP2R2B	1
GRIN3A	1
AAK1	1
NFKB1	1
CHD8	3
TAF5	1
ROR2	4
FLT3	1
DCLK3	2
ZNF664	1
CCR6	1
CDH10	3
HSP90AB3P	1
RGS6	1
TBK1	1
RAD18	1
TNIK	3
SLITRK3	2
THRAP3	1
RAB7L1	1
XIRP1	1
MKNK1	1
CARD11	1
PTPRD	1
ZSCAN21	1
SPATA13	1
SUV420H1	2
DNAH11	1
NEU3	1
INPP1	1
KCNQ5	1
DTX4	1
FBXO24	1
GCNT4	5
CREBBP	1
RSPO2	1
ABCB11	3
DPP10	3
ERBB3	3
NKIRAS1	1
ACP6	1
BAI3	3
TTLL5	1
PRPS1L1	1
MGC42105	1
ALDH1A2	2
PIK3CB	4
SV2B	1
MAGI2	1
POLR2B	2
PLCZ1	1
